location,sqft,bedrooms,bathrooms,age,price
Suburban,5830,7,4,76,2524581.8972465517
Urban,5814,5,1,59,2773250.52183511
Suburban,2064,4,5,8,1319301.872009746
Suburban,1405,5,1,31,884069.8703047854
Rural,2238,5,1,12,534377.4750525932
Rural,4228,5,2,68,1021836.3219585001
Rural,3601,6,2,97,898526.394509038
Rural,2822,5,3,27,739668.6607451169
Suburban,977,2,1,64,489813.61566932505
Rural,654,7,3,62,491465.4536706611
Suburban,2892,2,2,9,1345863.6874416003
Rural,5837,3,5,91,1224669.0058701348
Urban,3430,3,1,47,1637961.563353587
Suburban,3973,3,4,40,1698441.5236177568
Suburban,3694,4,4,70,1561669.518607051
Suburban,5047,1,4,24,1893297.3225246333
Rural,5023,6,3,0,1161144.3727494422
Rural,1729,5,5,87,612542.8227245854
Suburban,777,4,4,21,716682.3653024529
Urban,3648,6,3,5,2130011.485831705
Rural,2503,7,4,63,711806.1489112789
Rural,1585,4,4,70,543623.5152434619
Urban,5176,3,3,39,2524375.3262824914
Suburban,3630,7,4,29,1755503.5129475591
Urban,3418,5,5,83,2042724.9143362725
Suburban,2969,6,5,5,1667392.7365999015
Rural,1334,7,1,7,448948.2139453676
Rural,2844,5,2,20,711356.6518686543
Suburban,515,7,5,48,925270.8257817092
Urban,5499,4,1,29,2669837.343405634
Rural,4439,5,5,98,1029423.0221336308
Suburban,887,2,4,66,608793.1038096127
Rural,2624,4,3,71,590770.9581615983
Urban,4403,6,1,31,2291426.6048705694
Suburban,1515,5,5,55,959488.0738308503
Rural,5673,2,2,26,1162723.1118042162
Rural,3230,4,2,72,741882.8934369029
Urban,5585,2,2,14,2608629.3742044303
Urban,3257,1,5,95,1569415.0270595443
Rural,3941,3,5,77,894595.2928326308
Urban,4591,7,5,90,2564260.500366349
Rural,3877,5,2,65,869207.8410123511
Urban,4763,3,1,90,2179526.537624848
Suburban,4963,6,2,85,1985905.0820132478
Urban,584,4,3,44,749099.8754027648
Rural,1770,5,5,31,577831.122623492
Urban,5668,4,3,79,2664560.8659123373
Suburban,3352,2,5,74,1417000.9983024383
Suburban,2854,2,1,7,1179433.8122742902
Suburban,1214,6,1,45,835198.9735766719
Urban,2324,1,5,69,1276849.9551269684
Urban,1026,2,5,7,993460.645702651
Rural,3098,5,4,28,763518.2652453714
Urban,786,6,2,93,721714.7034747412
Suburban,3388,7,4,63,1840237.3488360376
Suburban,1923,7,1,3,1233107.7532837396
Suburban,5900,1,4,90,2174230.087198003
Rural,2771,6,5,79,786713.5299004663
Rural,1230,3,5,97,388395.78445019
Urban,5061,5,2,65,2504018.4739287486
Suburban,2849,1,2,33,1163934.7298498119
Urban,3911,6,3,88,2157600.0540716723
Suburban,5842,5,1,25,2313146.5909350305
Suburban,2314,5,5,87,1213746.3839973179
Suburban,2567,2,4,72,1121249.0788464453
Suburban,1126,2,4,88,576063.2343028134
Suburban,4285,3,5,74,1771722.899701685
Rural,3016,5,1,5,772889.7929067285
Suburban,5208,7,4,51,2366807.686019722
Urban,2589,7,4,8,1766563.7122621376
Rural,2683,6,1,17,693598.8207961154
Suburban,2641,4,5,49,1253590.6586039849
Suburban,744,2,1,53,388986.4319236195
Rural,3623,6,1,71,853513.854330681
Urban,899,5,5,73,895175.668127711
Suburban,5902,2,1,87,2117463.141503717
Urban,1190,5,1,49,1049116.9292367196
Urban,3198,1,1,45,1497523.072101876
Rural,3757,1,4,28,857476.0934454345
Suburban,2418,1,3,1,956140.0885001327
Suburban,4811,7,5,67,2161788.2355434503
Rural,3192,7,4,83,912738.1932640739
Rural,4302,4,5,63,982594.8550956512
Suburban,2360,6,2,75,1207300.9671300268
Suburban,4840,2,3,7,1901282.5535965909
Urban,704,2,5,91,636723.6986895825
Suburban,2955,4,2,61,1296116.6970464147
Suburban,5934,1,1,65,2078903.2663794972
Rural,2721,5,3,55,717127.8427528535
Suburban,2281,7,1,52,1279206.9910215156
Urban,2050,4,4,77,1415942.9690916224
Urban,3999,1,4,95,1829588.750681708
Rural,2049,4,5,33,588975.6862464809
Urban,4224,5,4,80,2234051.176846284
Rural,1907,6,1,44,577441.2811237916
Urban,2123,7,4,47,1588671.5715601922
Suburban,1232,4,5,56,890355.0316792086
Suburban,4891,7,5,54,2206646.2748432206
Rural,1242,3,2,87,392730.7308954709
Suburban,2997,7,4,67,1529594.3606204907
Urban,4834,2,2,2,2285421.845689176
Suburban,2020,5,5,88,1063203.5120484813
Urban,4770,4,2,9,2381811.950272298
Urban,4597,7,5,13,2758393.5905750995
Rural,2459,5,1,45,666732.241022895
Suburban,4722,5,4,80,2035934.2647901708
Suburban,3932,6,5,79,1925751.7926988502
Rural,2190,6,2,5,662706.133872091
Urban,3313,3,5,2,1960389.4491328436
Suburban,1187,3,4,72,629300.3248195525
Urban,1213,5,2,18,1027701.2942641048
Urban,3192,2,4,86,1458903.7140112873
Rural,2493,4,5,41,741939.813602455
Rural,5591,4,5,71,1211417.2276145124
Suburban,5390,4,1,80,2139779.5911347712
Urban,4204,4,1,57,2079811.1526607748
Suburban,5610,7,4,35,2510887.92923186
Rural,4021,2,4,71,837146.586834683
Rural,1288,6,4,69,549848.4159062835
Urban,2792,1,4,66,1464430.3182716125
Rural,4080,6,3,63,1060554.8128921075
Suburban,3810,2,5,95,1570397.397977707
Suburban,1591,5,4,25,1071164.0842727048
Urban,4631,3,5,30,2471151.660471156
Urban,1686,2,4,95,949448.5465322619
Rural,3605,5,3,32,883292.8681915172
Urban,2350,4,3,2,1550551.9212784467
Rural,2505,3,1,87,601629.4442684288
Suburban,2846,3,5,88,1218082.3372115593
Suburban,3160,4,2,82,1365603.4826994857
Urban,5555,3,1,17,2519887.869799875
Suburban,3194,5,1,61,1412869.9266942723
Suburban,3902,4,5,49,1902319.2907460663
Rural,5652,4,4,89,1215990.151501548
Urban,4125,3,3,32,2126087.420966006
Suburban,1981,7,1,50,1190348.5341038313
Urban,4991,7,1,6,2628707.0357881933
Urban,5929,6,3,23,3077751.6268737093
Suburban,2179,1,4,28,1031131.9917038976
Suburban,5757,4,5,27,2385640.0060335277
Urban,3536,4,4,41,1938524.2490563663
Urban,573,1,4,75,508027.74892281496
Urban,5462,2,2,47,2405491.4706233535
Urban,5301,2,2,53,2508874.4583643316
Rural,2912,6,2,82,595655.4719283778
Suburban,3286,4,4,12,1619803.1745791696
Rural,3193,7,4,68,903826.3504442392
Urban,3243,6,3,46,1885771.747369477
Urban,2184,7,2,67,1354358.3188055526
Suburban,4791,7,4,98,2228402.1623074184
Suburban,2530,3,3,51,1076802.5055212849
Suburban,1109,6,2,50,843182.168604733
Urban,5506,5,4,4,2875911.378908743
Urban,3207,1,5,24,1665928.464739535
Urban,5307,3,3,10,2511651.9129422656
Rural,2725,2,5,12,736548.4018465194
Suburban,2526,2,2,33,1049487.283415801
Rural,2648,4,1,40,554267.7092632449
Rural,5574,6,2,11,1108757.0641065794
Suburban,2063,4,2,41,1056160.247495599
Suburban,1370,2,2,34,597743.5327400242
Rural,1947,2,1,36,397209.841904307
Rural,4735,6,1,39,1107532.0618910682
Rural,2798,1,5,47,614676.6345285525
Urban,2250,2,2,59,1149540.7062673706
Rural,1918,5,3,6,599469.9602764068
Rural,889,3,5,27,495423.38251600065
Rural,4239,3,3,54,897340.0458473776
Suburban,1532,1,3,58,742717.8332969332
Suburban,4507,2,3,91,1705565.608123919
Urban,2171,5,5,92,1518823.776680691
Rural,3861,4,2,38,833794.5969572901
Urban,1233,3,3,79,856012.6226027705
Suburban,5744,2,3,53,2190362.5196657483
Rural,4335,1,4,25,872006.2282206964
Suburban,5198,5,1,37,1981265.4999852632
Rural,5902,4,2,72,1174755.2821279317
Urban,1536,2,5,17,1044651.5746407086
Urban,5756,3,3,70,2722296.8362893187
Rural,5445,6,4,96,1182021.524810398
Urban,1102,3,2,100,727867.9762515352
Urban,5547,2,2,75,2460539.1482331636
Urban,4457,5,5,7,2569411.725410097
Urban,507,3,3,28,635473.5887436562
Rural,1354,5,5,92,460311.51242578134
Suburban,531,3,4,32,677031.0279502006
Rural,2627,5,3,33,618147.1528534131
Rural,3638,6,3,18,914812.090597692
Suburban,834,6,1,39,713200.2185824646
Urban,4743,7,1,12,2444954.5432817168
Urban,2119,1,5,100,1214918.9341416531
Rural,4530,4,4,35,1061967.5935896854
Urban,4167,5,3,58,2111781.8158642286
Rural,3600,5,4,3,913818.5885766632
Urban,2020,5,5,47,1559288.1022064849
Rural,4692,1,1,78,885157.2523503717
Suburban,5345,7,2,66,2177056.7066440275
Suburban,1223,7,1,12,989546.563011521
Suburban,4113,4,1,86,1593349.2680784755
Urban,2494,1,5,71,1399936.094791836
Suburban,802,3,4,71,577386.0079163576
Rural,3092,6,3,75,909822.5170569819
Urban,3396,2,2,47,1636515.3659087573
Suburban,2020,4,4,2,1221133.7155007678
Rural,845,1,2,44,156784.51156545425
Urban,2010,7,1,32,1528012.8011205846
Urban,5590,4,4,69,2686271.4285950833
Urban,1512,4,4,45,1095010.5552695883
Rural,3833,1,1,54,609361.9030701247
Urban,1533,7,2,85,1100982.2371762623
Suburban,2896,7,1,71,1423071.1619235263
Suburban,3993,6,4,18,2000334.1049394899
Urban,2480,2,3,44,1283804.3859906006
Rural,2234,6,4,60,646920.6352875883
Suburban,1493,4,2,82,753391.5308480093
Suburban,4287,7,4,57,1972591.0111799908
Rural,1064,6,4,44,437328.43324664724
Urban,1774,4,5,86,1311933.4378594079
Suburban,4826,5,1,79,1882626.5926210769
Urban,2271,5,5,6,1630477.7547449337
Urban,3738,6,2,47,1974586.1356724564
Rural,1218,5,5,83,416557.96586027084
Urban,1563,3,2,78,874584.1771286136
Rural,2958,3,4,27,678479.2218776303
Suburban,675,5,3,80,637917.7452854009
Urban,4031,1,5,55,1954354.2849515874
Urban,2950,3,3,49,1722293.568959246
Urban,1552,5,2,51,1046085.9472954326
Suburban,4401,4,3,51,1859082.0342818627
Urban,1425,4,1,57,940402.6490491655
Suburban,1549,5,2,53,1057502.6050586123
Rural,807,2,1,99,148341.93128325432
Rural,4763,2,2,18,954248.2111685566
Urban,528,6,1,32,774488.7205265702
Suburban,3968,3,1,97,1478902.8030546198
Rural,1726,5,4,57,654039.769990094
Suburban,5535,6,3,31,2456708.2982598715
Suburban,5581,5,5,9,2480716.597770922
Urban,735,1,2,90,464441.82362898055
Urban,5805,4,1,43,2699719.425189538
Urban,5266,2,2,48,2338226.0390489143
Rural,5448,4,5,17,1224041.659201686
Urban,5240,1,5,8,2657716.507054528
Rural,1604,2,3,29,424308.9004535414
Urban,4829,3,2,4,2398945.118031256
Urban,3512,1,5,32,1911812.3247067682
Rural,2148,6,1,96,512133.7704309802
Rural,4520,3,4,10,987098.1038353676
Suburban,5315,1,4,28,2051055.9582844467
Suburban,1128,3,4,7,765065.6875740071
Suburban,5127,5,2,10,2166385.734814396
Rural,994,5,2,85,254274.83095804026
Rural,3970,1,2,32,898978.0962144369
Rural,675,3,4,69,328515.32381901157
Rural,2876,1,4,30,666898.4382401087
Suburban,4084,4,1,55,1681202.8741380551
Rural,3069,1,5,52,730303.450449612
Urban,1972,1,4,78,1042445.5557945679
Suburban,4239,7,2,58,1869874.5977458593
Suburban,4250,7,4,96,1901810.4151796582
Urban,1132,2,1,65,522557.50624418166
Rural,3213,6,5,47,973099.3036815559
Urban,575,5,4,64,695171.2755526706
Urban,5936,4,4,9,2973438.5935062016
Rural,1696,7,1,33,551875.5121399631
Urban,1046,6,3,45,980760.570945387
Suburban,5894,5,3,73,2347105.829914415
Urban,510,7,4,61,1013740.8273580034
Urban,4358,7,4,63,2460680.858300705
Rural,1982,3,5,76,445333.09206266556
Urban,3197,2,2,22,1671575.2982984488
Urban,4075,4,3,38,2139978.0076082624
Suburban,5757,2,5,42,2213397.510989851
Suburban,2284,3,4,47,1160844.2678253679
Rural,1654,4,5,91,464796.4960743797
Urban,3680,4,5,35,2137916.2439922774
Urban,3804,2,5,64,1787930.6985929082
Rural,3609,1,2,10,644482.5986790835
Urban,2565,6,5,72,1768973.081277361
Urban,3316,5,2,43,1794447.7094245777
Rural,3173,5,1,18,785200.2201652271
Rural,4453,7,5,22,1204324.308193504
Rural,2095,2,4,71,577034.9469341502
Rural,927,7,3,82,508245.3730205706
Urban,5073,3,5,67,2469563.3136069756
Urban,5293,2,4,76,2410656.8326443755
Rural,2258,1,2,15,546304.5396908321
Urban,3546,2,1,38,1702497.5548061354
Suburban,2404,3,1,38,1067490.5330223688
Urban,1142,5,4,64,997530.4735961219
Urban,1290,7,5,15,1504654.396346792
Urban,3570,1,2,42,1605525.403378044
Urban,3156,4,4,14,1762692.4908092737
Suburban,4806,6,3,1,2170803.94156313
Suburban,4380,1,4,98,1596855.676574076
Suburban,1093,1,3,94,544812.1632217049
Suburban,4477,7,3,18,2093744.9305497203
Suburban,5123,1,3,87,1760983.1058015733
Rural,3014,3,2,32,758339.1788978401
Urban,2796,1,3,61,1382066.531728733
Suburban,1723,1,2,10,849865.5551628721
Suburban,1089,5,5,55,957862.6405478305
Rural,5811,5,4,60,1304669.4721525782
Urban,4191,5,3,32,2314149.7039952846
Suburban,3598,2,4,22,1506406.5173824765
Rural,5526,1,2,89,1049325.7126500362
Urban,991,4,2,30,910874.4831856547
Urban,2982,2,1,11,1562097.185713014
Suburban,5638,6,2,78,2221548.584653321
Urban,4103,7,1,71,2186785.1490291157
Urban,904,3,5,38,885731.0312731677
Rural,4672,3,4,16,1001762.2901151153
Suburban,3462,1,1,60,1199291.8845125935
Suburban,1229,5,1,64,728630.576608894
Rural,3913,7,1,93,968880.535983217
Suburban,5153,4,5,97,2105288.3854953973
Suburban,1340,6,1,83,771022.4544225603
Suburban,2704,6,5,8,1500435.194893695
Urban,4246,4,1,90,2009313.8672852668
Rural,3242,2,2,40,643189.900936467
Suburban,4053,4,2,26,1821849.522832615
Rural,5143,5,5,42,1179263.7641196658
Rural,1978,6,3,98,565109.242024371
Suburban,3207,5,5,26,1685412.8534244793
Suburban,2494,1,5,60,1056437.6607462007
Rural,2937,2,1,57,488940.69506485475
Rural,3320,7,3,1,842446.0030429757
Rural,4549,1,4,88,764160.7694670537
Suburban,3875,7,1,0,1801835.8754935714
Urban,3571,3,2,52,1672978.5850169014
Suburban,1980,2,1,72,816544.8814841494
Suburban,2365,7,1,12,1290261.2098985077
Rural,3482,2,2,99,720687.1572172232
Rural,4901,3,4,68,1102988.3275489633
Suburban,4285,6,4,9,1957003.6723829485
Rural,5048,6,3,7,1202906.9842759143
Rural,1922,2,2,40,557809.1019721144
Suburban,2578,7,2,29,1348999.3380780332
Suburban,3244,3,4,55,1379725.6891873167
Suburban,2157,4,1,9,1139570.43054158
Rural,2454,2,5,55,635871.9148099337
Rural,5792,4,4,25,1252255.2550060602
Suburban,2364,5,5,4,1412321.0018400098
Rural,5736,4,4,30,1339662.2781686434
Suburban,2973,6,2,14,1472465.0869636626
Suburban,1105,4,1,13,740505.6455827062
Suburban,1171,3,5,48,670904.4641021553
Suburban,1744,6,1,86,948369.6699546628
Rural,1324,6,1,19,457781.01716342865
Rural,5347,4,4,9,1235413.2110039645
Suburban,654,7,5,14,1050017.3947394688
Rural,2769,4,1,27,589965.6749991231
Suburban,4524,1,1,63,1673833.590402724
Urban,4252,1,1,52,1818930.9720887225
Suburban,1571,1,3,9,834418.6423063189
Rural,1424,6,5,47,567163.43791037
Suburban,3668,5,1,27,1587130.7896289832
Suburban,1661,7,2,26,1027348.2390090418
Rural,1086,3,1,45,320774.1075424426
Suburban,4998,5,3,57,2052276.3095510476
Suburban,3736,6,3,38,1772019.4574090282
Urban,4304,5,4,21,2319480.8483133437
Suburban,3142,3,1,99,1157870.3586856613
Rural,5341,1,4,57,1034816.4177641226
Rural,5425,7,5,49,1309786.5225582279
Rural,4068,1,3,54,859671.0997485137
Urban,2014,3,2,14,1288112.0214754294
Suburban,3126,6,4,67,1657636.0147477393
Suburban,1366,5,3,16,957785.5864602631
Suburban,5731,5,2,86,2162463.921813126
Suburban,1210,5,4,95,795528.2697776724
Rural,2613,7,1,36,700325.9730947447
Rural,3771,1,1,1,626301.085052869
Suburban,3189,4,2,40,1421444.155871593
Rural,1782,3,1,5,497901.39680998435
Rural,1999,1,2,41,441756.2043282467
Rural,1428,7,1,85,574268.0864540141
Rural,2628,4,3,58,773351.9555470329
Suburban,4453,3,5,40,1809636.4307046598
Rural,3575,4,5,72,749239.2226509198
Urban,1188,7,4,98,1078397.173998652
Rural,1588,1,4,33,405475.6873319111
Urban,4728,5,3,39,2550048.986225837
Suburban,1646,4,3,5,1029360.580580428
Rural,1439,6,2,87,452997.9242863305
Rural,5896,3,1,75,1157436.6286072407
Rural,1498,4,2,93,396939.14520666713
Urban,5102,7,1,17,2595212.3832960674
Urban,3418,4,4,26,1890615.1872410653
Rural,2217,3,3,41,579324.7959115288
Rural,4459,7,4,37,1126124.01068604
Urban,5482,1,1,44,2407495.4077249626
Urban,5506,1,3,47,2512056.490336818
Rural,4912,1,3,92,955077.207005194
Rural,4702,5,5,69,1112257.633635468
Urban,5711,4,4,57,2832471.699751914
Suburban,1528,4,5,20,981277.8864201134
Suburban,1164,4,3,40,780100.4135951803
Suburban,2520,7,2,24,1349119.2114396552
Urban,3842,6,4,58,2121796.465790967
Rural,4872,5,2,91,1083871.2145718825
Urban,2033,2,1,65,1065754.0627944025
Urban,4536,7,4,65,2496232.9357474265
Rural,4650,3,4,3,1094989.8280552085
Suburban,5015,7,3,85,2050123.5140910475
Rural,796,2,1,29,319833.79828232795
Rural,2090,1,3,73,447410.93017985206
Rural,3294,6,2,64,801316.9335160231
Rural,4004,1,5,89,902110.238927868
Suburban,3078,2,5,1,1492778.6634424657
Rural,2224,7,4,38,777432.1826770132
Rural,1880,4,5,40,641520.7553788928
Suburban,5897,4,3,5,2348404.692873309
Urban,4232,7,5,35,2480177.087541125
Rural,1890,5,1,5,507645.94403355627
Urban,1134,2,1,39,680050.1459753423
Rural,3518,6,3,6,974724.521032035
Suburban,5499,4,5,34,2355656.3607910057
Suburban,3198,1,1,21,1210135.5391441858
Rural,2678,3,4,70,712412.7689233994
Suburban,2850,3,4,14,1329467.806162036
Urban,2601,7,2,28,1728563.7717402661
Urban,5776,3,2,4,2778369.412565883
Urban,5515,7,5,86,2903446.4162785998
Rural,4185,3,2,53,943650.3904050039
Rural,4110,3,4,25,933911.1492548074
Suburban,2352,6,4,76,1291438.4852293697
Urban,1530,7,5,79,1252631.4722494332
Urban,2294,3,2,41,1346399.7320858343
Suburban,2976,2,3,85,1168860.6673088996
Urban,4209,4,4,27,2225919.545829529
Rural,5452,4,3,71,1205219.5777934736
Rural,5827,4,1,49,1176721.5043198043
Suburban,5884,3,3,7,2336398.458132228
Urban,3072,7,2,47,1851877.4756769899
Suburban,4759,2,5,60,1893654.5564973177
Rural,3392,1,2,14,716791.5048801207
Urban,5157,1,2,73,2284170.733059878
Suburban,5864,3,1,48,2119282.4011642104
Suburban,3552,1,5,82,1361202.9531227518
Rural,4373,4,4,40,1038098.1808002407
Rural,5063,4,5,29,1160415.906438349
Rural,1620,6,3,91,608663.1380805861
Suburban,1456,7,1,83,960128.3516887056
Suburban,2597,5,2,85,1195113.283991605
Urban,2338,1,5,24,1353390.2473130566
Suburban,4372,6,4,76,1978424.792841087
Urban,1078,3,3,15,852898.7507202881
Rural,4489,3,4,24,1035292.0820878292
Suburban,3328,6,5,89,1528685.253115711
Rural,936,7,3,3,480087.8796812341
Suburban,2477,7,5,85,1341251.9263485926
Rural,636,6,4,31,485251.0942558535
Rural,3499,4,3,62,872722.4498463375
Urban,4241,5,4,78,2315033.269603616
Rural,2061,5,4,15,723697.844116752
Rural,5075,5,5,25,1103436.1911651224
Urban,3783,7,1,46,2171050.744931372
Rural,2141,3,3,100,579957.656734955
Urban,1912,6,1,45,1256621.49703969
Urban,4593,6,5,77,2626943.490625727
Suburban,1019,3,4,40,649423.0492586294
Rural,2933,2,2,58,659007.4598477323
Suburban,5471,5,1,25,2227379.286267628
Rural,3240,5,5,27,847741.3593763377
Suburban,5479,2,4,91,2030329.2827586045
Suburban,5688,6,2,42,2350068.3414875134
Urban,4499,5,1,78,2094368.9137901994
Rural,3254,4,3,62,818197.9014848382
Rural,2317,1,5,52,551444.5955593691
Suburban,4020,7,2,64,1836975.540275453
Rural,5343,4,4,94,1040469.1463687763
Rural,1728,4,1,71,411825.27936257713
Urban,1861,1,4,62,957145.510889361
Suburban,1844,1,3,46,849557.0129138455
Urban,2003,7,5,26,1681804.039679829
Rural,4983,1,3,75,942367.1352267262
Rural,909,6,2,10,350879.0014687278
Rural,5473,7,3,49,1270725.9002207678
Suburban,2406,3,1,58,1041258.3758422639
Rural,2941,4,4,38,678835.7919937769
Rural,1674,5,3,66,526530.201264119
Suburban,2221,7,5,24,1473959.8048343891
Urban,4835,2,3,27,2252149.149289921
Urban,4502,2,1,28,2101543.9389649127
Rural,5323,5,2,23,1319916.1121704117
Rural,5391,7,4,85,1206575.9606721166
Suburban,5013,6,4,53,2211196.674472696
Rural,550,3,4,82,278671.444403398
Suburban,640,2,5,5,671957.5370760282
Rural,1839,3,1,66,491637.2064433587
Urban,2979,5,5,24,1935281.9868862766
Suburban,1367,5,5,84,908142.1963150749
Rural,3353,1,5,46,774362.298878719
Suburban,990,3,4,50,592373.2812707066
Suburban,1703,2,4,90,850331.0415543886
Suburban,3831,6,1,27,1703231.2351374745
Urban,3083,6,2,21,1905876.9183844028
Suburban,3623,6,5,25,1847869.6899280942
Urban,2214,7,1,52,1462165.4531841385
Urban,3878,6,4,24,2332072.650962284
Suburban,862,7,4,39,900833.00071507
Urban,5591,1,3,41,2505065.7147047445
Rural,4081,7,4,62,1033543.6538584081
Rural,2643,1,1,60,446780.7530041281
Urban,3615,6,2,3,2023017.910455854
Urban,2467,3,5,64,1439238.0023411422
Urban,3018,7,1,65,1695924.7085386629
Urban,5754,2,5,83,2769389.0383165576
Rural,4693,5,4,57,1070658.177752945
Rural,5095,1,5,91,967214.4032469122
Urban,5992,2,4,30,2793062.030609315
Rural,4218,6,5,5,1134941.2778670823
Rural,1075,7,3,81,478679.5924206887
Suburban,1455,3,4,28,876722.1697510246
Urban,4396,3,2,36,2126612.044994141
Urban,3427,3,5,21,2019393.2760582236
Urban,3572,4,1,22,1796382.8554104983
Rural,5618,2,2,85,1123640.617029168
Suburban,1222,1,1,1,562515.305809294
Suburban,4101,5,2,30,1790633.3854066636
Suburban,3470,1,1,0,1282219.1813162654
Urban,4817,5,3,90,2389953.526803939
Urban,2592,3,5,78,1542244.5845111543
Suburban,5514,4,1,25,2143169.89437266
Suburban,1795,4,5,78,953452.1394411514
Suburban,1944,6,4,48,1166064.2838732712
Suburban,3587,3,5,53,1571337.829719867
Urban,4749,4,3,59,2464734.98182306
Suburban,1344,4,2,56,773569.4769933473
Suburban,2010,3,5,78,1035949.5018222653
Urban,2304,1,1,9,1169630.5678951405
Urban,2692,1,5,27,1562863.4094592722
Rural,3282,6,5,76,949057.0082707134
Suburban,2299,3,1,56,964151.6169570505
Suburban,639,6,5,2,936394.3391626162
Rural,5089,1,4,21,966393.8997548999
Rural,972,3,5,13,518766.7012785513
Urban,1759,2,4,11,1248924.2693777108
Urban,961,4,1,27,863626.795470478
Suburban,2242,2,5,51,1094035.6455816296
Suburban,3195,7,1,45,1436731.0157388072
Suburban,5344,2,5,96,1946945.195901467
Rural,2669,2,2,92,587633.8019267668
Rural,3178,1,4,15,715086.5645246292
Urban,3483,7,1,54,1936900.8517582319
Suburban,3626,6,2,63,1624006.1280569315
Suburban,2002,6,3,80,949158.0827624525
Suburban,1727,2,1,15,810687.4547925291
Rural,1708,4,1,22,539535.7744268073
Urban,2418,7,5,3,1920404.534417679
Urban,1820,1,4,24,1109613.1894821282
Suburban,2198,3,2,6,1074501.4932560767
Urban,3846,7,4,4,2363843.489674833
Urban,2438,1,5,90,1315993.1605601658
Rural,1960,6,3,31,586127.913835091
Suburban,1376,1,1,85,535478.1212341235
Rural,3726,7,5,91,918651.3415544758
Urban,2204,1,5,40,1197780.5799986457
Urban,5836,2,2,63,2502058.4861947764
Urban,2542,7,3,42,1847190.8989782226
Urban,5446,3,5,37,2717711.088397791
Rural,1090,1,1,74,265477.30749638414
Urban,918,7,3,99,1027715.6328974939
Suburban,2631,2,4,7,1223578.9741834365
Suburban,5900,2,1,44,2174501.7409775048
Suburban,5551,6,1,86,2147046.3224001075
Urban,3932,4,5,50,2190629.72815027
Rural,1126,1,2,67,197342.30548234028
Suburban,5728,4,4,45,2292056.1393440184
Suburban,5521,2,1,3,1972669.339712941
Urban,1908,3,5,40,1269186.9271192779
Rural,3566,3,3,9,742297.4103957065
Suburban,5101,5,2,17,2084107.4459150622
Suburban,2927,3,5,36,1395107.649087692
Rural,841,1,2,55,191317.69279294927
Suburban,1391,2,3,58,735186.7248503324
Urban,1987,7,5,93,1560027.2347223745
Urban,2830,5,2,25,1688065.7455286668
Rural,4899,1,1,39,916623.2460883203
Suburban,2914,2,4,19,1328595.2841605414
Rural,2538,2,4,49,757676.619405736
Urban,5743,1,2,25,2507044.952880011
Suburban,5709,1,2,77,1891518.274783039
Rural,1156,7,3,16,457844.3980107781
Rural,4632,7,4,74,1146248.5981919558
Suburban,1083,1,4,1,796816.7206770146
Rural,4157,7,3,15,1145218.4600574912
Suburban,2353,5,4,9,1370766.440054468
Suburban,1327,1,1,25,580344.7402366777
Suburban,1989,3,2,27,892817.6009840284
Rural,1949,5,1,88,525231.4428409776
Suburban,1616,4,3,14,992903.961591153
Urban,2053,2,1,99,955014.7177007111
Rural,1810,6,1,2,593485.161018355
Urban,3049,7,5,89,1987055.2562371197
Urban,2493,4,3,55,1509479.2251399858
Urban,990,4,4,39,994380.6240313014
Rural,1791,3,1,66,383278.56302725937
Rural,5235,5,2,60,1105744.9580679303
Rural,2410,2,3,0,701716.6362619826
Rural,5714,7,5,73,1382345.739270184
Rural,3557,3,4,82,765487.1754817071
Urban,1128,6,1,13,1001798.8182101337
Urban,3430,6,1,24,1932251.4395225877
Urban,1086,2,2,54,725787.3786185681
Rural,2071,7,3,21,666497.0150973469
Urban,2640,1,5,4,1513047.7679922376
Rural,5546,4,5,7,1303556.2688647
Suburban,2270,6,5,31,1248461.9543977678
Rural,1665,2,2,99,328123.474327914
Urban,5862,7,5,29,3153847.0890351953
Rural,1076,5,1,77,422581.2055295417
Suburban,2051,7,3,52,1175280.7246435152
Suburban,3179,7,3,35,1608800.3426336325
Rural,3791,4,5,15,951611.6308188122
Rural,3434,2,4,76,700793.467090635
Suburban,1664,6,1,27,1032852.3299294405
Urban,5418,1,2,45,2404723.1683816565
Rural,1113,1,5,66,402613.82238148095
Urban,4506,4,5,24,2461966.86250775
Urban,5270,7,2,75,2707964.7508776286
Rural,5015,2,3,39,1022042.9736686822
Rural,5037,2,1,33,961592.5682202235
Urban,1693,6,2,7,1301193.7058733292
Urban,4180,6,4,20,2364197.761159773
Suburban,2059,1,3,64,939753.5087915495
Urban,2420,3,3,89,1297182.6751389464
Suburban,3105,5,4,27,1595859.2430880356
Urban,3256,4,1,26,1719886.4084261204
Rural,1492,5,3,36,522276.3262862233
Suburban,5844,1,3,54,2020417.9490319518
Rural,2973,2,3,84,636969.9946769468
Urban,2030,4,4,68,1281762.2509021917
Urban,1848,1,2,92,773130.149512035
Suburban,5827,6,5,87,2475238.031619483
Suburban,5291,2,5,64,2084602.5477692867
Suburban,4281,1,1,32,1557627.724665749
Rural,5841,4,3,83,1163367.033209832
Rural,1792,3,1,12,492064.9362003331
Suburban,3900,1,2,88,1450103.4578259692
Rural,1757,5,3,61,569893.164007562
Urban,1384,5,4,3,1276680.0389926364
Urban,5855,3,5,0,3031239.6148981466
Urban,2767,7,1,23,1728033.416064898
Suburban,532,2,3,17,635128.1650455196
